SID,Familiarity,RepTime,Trial,Resp,Corr,RT,ImgName
1,1,1,1,1,1,1125.46,wordin4.png
1,1,1,2,1,1,668.74,wordex2_5.png
1,1,1,3,1,1,731.88,wordex2_6.png
1,1,1,4,1,1,556.58,wordin5.png
1,1,1,5,1,1,843.82,wordex1.png
1,2,1,6,2,1,556.66,nonwex2_5.png
1,2,1,7,2,1,620.53,nonwin12.png
1,2,1,8,2,1,460.53,nonwex6.png
1,2,1,9,2,1,524.5,nonwin5.png
1,2,1,10,2,1,452.49,nonwin10.png
1,1,1,11,1,1,684.48,wordex2_9.png
1,1,1,12,2,1,755.61,wordex9.png
1,1,1,13,1,1,603.6,wordex2.png
1,1,1,14,1,1,468.43,wordex11.png
1,1,1,15,1,1,756.4,wordin2_2.png
1,1,1,16,1,1,587.56,wordex2_11.png
1,2,1,17,2,1,668.47,nonwin2_2.png
1,2,1,18,2,1,572.39,nonwex12.png
1,2,1,19,2,1,443.53,nonwex8.png
1,1,1,20,2,1,307.51,wordin2_7.png
1,2,1,21,2,1,508.34,nonwin2_12.png
1,1,1,22,1,1,571.49,wordex2_3.png
1,2,1,23,2,1,548.32,nonwin1.png
1,1,1,24,1,1,603.43,wordex12.png
1,2,1,25,2,1,435.46,nonwex2_6.png
1,1,1,26,1,1,659.43,wordex2_4.png
1,2,1,27,2,1,556.28,nonwex5.png
1,2,1,28,2,1,387.4,nonwex2_2.png
1,2,1,29,2,1,452.24,nonwin2_1.png
1,2,1,30,2,1,676.22,nonwin4.png
1,1,1,31,1,1,772.21,wordin12.png
1,1,1,32,1,1,596.25,wordex2_12.png
1,1,1,33,2,1,612.19,wordin2_12.png
1,2,1,34,2,1,532.2,nonwex7.png
1,1,1,35,1,1,612.16,wordin2_4.png
1,2,1,36,2,1,676.15,nonwex2_1.png
1,1,1,37,1,1,532.13,wordin6.png
1,2,1,38,2,1,476.15,nonwex2_10.png
1,2,1,39,2,1,500.09,nonwin2_7.png
1,2,1,40,2,1,564.09,nonwex2_4.png
1,2,2,1,2,1,904.69,nonwin2_1.png
1,1,2,2,1,1,607.82,wordex2_6.png
1,2,2,3,2,1,520.68,nonwex8.png
1,2,2,4,2,1,352.64,nonwex2_10.png
1,1,2,5,1,1,679.77,wordin12.png
1,2,2,6,2,1,600.62,nonwex12.png
1,2,2,7,2,1,391.75,nonwin2_12.png
1,1,2,8,1,1,551.74,wordex2_11.png
1,2,2,9,2,1,319.73,nonwin2_7.png
1,1,2,10,1,1,871.72,wordex9.png
1,1,2,11,1,1,784.57,wordin2_4.png
1,1,2,12,1,1,567.67,wordex2_12.png
1,2,2,13,2,1,400.55,nonwex2_2.png
1,2,2,14,2,1,408.51,nonwin10.png
1,1,2,15,1,1,631.65,wordin2_2.png
1,2,2,16,2,1,687.63,nonwex2_4.png
1,1,2,17,1,1,639.61,wordin2_7.png
1,2,2,18,2,1,696.46,nonwin4.png
1,1,2,19,1,1,464.44,wordex2_5.png
1,1,2,20,1,1,464.54,wordex2.png
1,2,2,21,2,1,456.42,nonwex2_5.png
1,1,2,22,1,1,616.51,wordin4.png
1,1,2,23,1,1,727.53,wordex11.png
1,1,2,24,1,1,952.42,wordin6.png
1,2,2,25,2,1,503.51,nonwex7.png
1,2,2,26,2,1,770.76,nonwin2_2.png
1,2,2,27,2,1,442.74,nonwex6.png
1,2,2,28,2,1,650.73,nonwex2_1.png
1,1,2,29,1,1,562.75,wordex12.png
1,2,2,30,2,1,585.85,nonwin1.png
1,1,2,31,1,1,1201.82,wordex2_4.png
1,2,2,32,2,1,561.81,nonwex2_6.png
1,1,2,33,2,1,570.66,wordin2_12.png
1,1,2,34,1,1,546.57,wordex1.png
1,2,2,35,2,1,793.8,nonwin5.png
1,2,2,36,2,1,658.63,nonwin12.png
1,1,2,37,1,1,570.64,wordex2_3.png
1,1,2,38,1,1,586.59,wordex2_9.png
1,1,2,39,1,1,538.58,wordin5.png
1,2,2,40,2,1,626.6,nonwex5.png
1,1,3,1,1,1,915.39,wordin12.png
1,2,3,2,2,1,435.38,nonwin2_2.png
1,1,3,3,1,1,363.35,wordex2.png
1,1,3,4,1,1,387.34,wordex1.png
1,1,3,5,1,1,427.33,wordex2_9.png
1,1,3,6,1,1,475.32,wordin2_2.png
1,1,3,7,1,1,419.3,wordex2_3.png
1,1,3,8,1,1,499.31,wordin5.png
1,1,3,9,1,1,531.35,wordin6.png
1,1,3,10,1,1,546.42,wordex2_11.png
1,2,3,11,1,1,483.28,nonwin1.png
1,2,3,12,2,1,651.19,nonwex12.png
1,1,3,13,1,1,538.38,wordin2_7.png
1,2,3,14,2,1,563.22,nonwex7.png
1,2,3,15,2,1,587.22,nonwin10.png
1,2,3,16,2,1,555.18,nonwin4.png
1,2,3,17,2,1,643.17,nonwex2_4.png
1,1,3,18,1,1,523.16,wordex2_5.png
1,2,3,19,2,1,675.16,nonwin5.png
1,2,3,20,2,1,667.16,nonwex8.png
1,2,3,21,2,1,523.15,nonwex5.png
1,1,3,22,2,1,491.1,wordin2_12.png
1,1,3,23,1,1,594.22,wordin4.png
1,2,3,24,2,1,563.08,nonwex6.png
1,1,3,25,1,1,563.07,wordex12.png
1,2,3,26,2,1,483.06,nonwex2_1.png
1,2,3,27,2,1,403.03,nonwin2_1.png
1,2,3,28,2,1,491.02,nonwex2_5.png
1,2,3,29,2,1,411.17,nonwex2_6.png
1,1,3,30,2,1,306.98,wordex2_12.png
1,2,3,31,2,1,506.99,nonwin2_7.png
1,2,3,32,2,1,698.97,nonwin12.png
1,1,3,33,2,1,442.95,wordex9.png
1,2,3,34,2,1,506.1,nonwex2_2.png
1,2,3,35,2,1,386.93,nonwex2_10.png
1,2,3,36,2,1,466.92,nonwin2_12.png
1,1,3,37,1,1,602.93,wordex2_4.png
1,1,3,38,1,1,538.89,wordex11.png
1,1,3,39,1,1,498.89,wordin2_4.png
1,1,3,40,1,1,570.9,wordex2_6.png
1,2,4,1,2,1,774.25,nonwex2_10.png
1,1,4,2,1,1,470.24,wordin4.png
1,2,4,3,2,1,558.26,nonwin2_12.png
1,2,4,4,2,1,518.24,nonwex2_1.png
1,1,4,5,1,1,653.36,wordin12.png
1,2,4,6,2,1,678.2,nonwin10.png
1,2,4,7,2,1,614.17,nonwex7.png
1,2,4,8,2,1,598.16,nonwin1.png
1,1,4,9,2,1,854.15,wordex2_5.png
1,2,4,10,2,1,470.13,nonwex2_6.png
1,1,4,11,1,1,485.31,wordex11.png
1,1,4,12,1,1,533.27,wordin2_7.png
1,1,4,13,1,1,430.08,wordex2.png
1,1,4,14,1,1,622.07,wordin2_2.png
1,1,4,15,1,1,549.23,wordex2_9.png
1,1,4,16,2,1,622.05,wordex2_11.png
1,1,4,17,1,1,709.27,wordin2_4.png
1,2,4,18,1,1,670.02,nonwex2_2.png
1,2,4,19,2,1,446.04,nonwin2_2.png
1,2,4,20,2,1,526.01,nonwin2_7.png
1,1,4,21,2,1,822.08,wordex2_12.png
