SID,Trial,Familiarity,Repetition,AscLoc,SrcResp,Corr,RT,Confident,ImgName
2,28,1,2,4,2,0,3025.85,3,wordin3.png
2,29,1,2,2,3,0,1530.68,1,wordin2_3.png
2,30,2,2,1,1,1,2136.62,4,nonwin12.png
2,31,2,1,4,1,0,3244.98,3,nonwin9.png
2,32,2,2,1,2,0,1738.4,2,nonwex9.png
2,33,1,1,3,3,1,2820.12,4,wordex4.png
2,34,1,2,1,3,0,1141.22,4,wordin2_4.png
2,35,1,2,3,3,1,693.43,4,wordex2_1.png
2,36,2,1,4,4,1,3241.95,2,nonwex2_10.png
2,37,1,2,1,3,0,1992.53,4,wordin2_8.png
2,38,1,2,3,1,0,2050.66,4,wordin4.png
2,39,2,2,3,2,0,1204.39,2,nonwex10.png
2,40,2,2,2,4,0,4251.14,2,nonwex2.png
2,41,1,1,1,3,0,1316.72,4,wordex1.png
2,42,1,1,3,3,1,2458.44,4,wordin2_9.png
2,43,2,2,1,1,1,1355.56,3,nonwex2_6.png
2,44,1,2,4,4,1,1634.3,4,wordin2_1.png
2,45,2,2,4,2,0,4315.77,2,nonwin2_10.png
2,46,1,2,2,1,0,6159.38,3,wordex2_9.png
2,47,2,2,4,3,0,2876.1,3,nonwin2_4.png
2,48,2,2,4,2,0,1733.94,2,nonwin4.png
2,49,1,1,2,2,1,8844.31,2,wordin5.png
2,50,1,1,1,3,0,3129.87,3,wordin2_10.png
2,51,1,2,3,4,0,3197.72,1,wordex11.png
2,52,1,1,4,4,1,1863.24,4,wordex2_5.png
2,53,2,1,1,1,1,2137.33,2,nonwex3.png
2,54,2,1,1,2,0,6723.74,3,nonwin6.png
2,55,2,1,1,3,0,4413.87,1,nonwin5.png
2,56,2,1,2,1,0,4958.37,1,nonwex1.png
2,57,1,1,1,3,0,1741.09,4,wordex2_3.png
2,58,1,1,2,3,0,1001.71,4,wordex2_10.png
2,59,2,2,3,2,0,5882.55,1,nonwex5.png
2,60,1,1,3,3,1,2402.02,4,wordex3.png
2,61,2,1,2,1,0,3679.11,2,nonwex6.png
2,62,2,1,1,1,1,2381.2,2,nonwex2_7.png
2,63,1,2,3,1,0,12708.08,2,wordex8.png
2,64,2,2,2,4,0,6412.54,2,nonwex7.png
2,65,1,1,4,1,0,2149.25,3,wordin11.png
2,66,1,2,2,2,1,2848.31,3,wordin2_5.png
2,67,2,2,3,1,0,1666.94,1,nonwex2_2.png
2,68,2,1,2,2,1,2082.67,3,nonwex2_11.png
2,69,2,2,4,4,1,899.58,1,nonwin2_7.png
2,70,1,1,1,1,1,1389.19,1,wordin8.png
2,71,1,2,2,3,0,2320.81,4,wordin2.png
2,72,2,2,3,2,0,1510.67,2,nonwin7.png
2,73,1,1,2,4,0,4578.16,3,wordin2_12.png
2,74,2,1,4,1,0,2175.92,3,nonwin2_8.png
2,75,2,2,1,1,1,1080.14,3,nonwin10.png
2,76,1,1,2,2,1,3634.05,3,wordex5.png
2,77,2,1,2,1,0,5814.69,2,nonwin2.png
2,78,2,1,4,4,1,16434.73,2,nonwex12.png
2,79,1,2,4,3,0,2005.08,4,wordex2_12.png
2,80,1,1,4,1,0,1550.08,4,wordex9.png 
3,1,2,2,1,2,0,2620.97,3,nonwin2_2.png
3,2,2,2,2,4,0,4523.7,1,nonwex12.png
3,3,1,2,2,3,0,3476.03,2,wordex2_4.png
3,4,1,2,1,4,0,8129.95,3,wordin8.png
3,5,1,2,4,4,1,1357.61,4,wordex12.png
3,6,2,1,4,3,0,2905.32,1,nonwex6.png
3,7,2,1,4,2,0,1143.87,4,nonwin2_1.png
3,8,1,2,3,3,1,2859.27,2,wordin9.png
3,9,2,1,1,2,0,1322.92,3,nonwex2.png
3,10,2,2,4,2,0,3389.82,4,nonwin10.png
3,11,1,2,3,3,1,5853.49,3,wordex4.png
3,12,2,2,4,4,1,4964.25,3,nonwin12.png
3,13,1,1,4,2,0,1246.95,3,wordex9.png
3,14,1,1,2,3,0,2623.46,3,wordin4.png
3,15,1,1,4,1,0,1457.03,3,wordin2_6.png
3,16,2,1,2,2,1,2230.87,2,nonwex2_9.png
3,17,2,1,3,4,0,1982.75,1,nonwex2_2.png
3,18,1,1,4,3,0,1317.46,1,wordex2_8.png
3,19,1,1,3,2,0,1239.78,2,wordex2_5.png
3,20,1,1,2,1,0,1203.28,2,wordin2_11.png
3,21,2,1,2,2,1,1153.19,3,nonwin2_9.png
3,22,1,1,1,4,0,880.84,3,wordex5.png
3,23,1,2,4,1,0,1081.57,3,wordex2_12.png
3,24,2,2,2,2,1,1236.68,1,nonwin1.png
3,25,1,1,2,1,0,931.27,1,wordex1.png
3,26,2,1,3,3,1,1011.22,2,nonwex10.png
3,27,2,1,4,4,1,1791.34,1,nonwin2_3.png
3,28,2,1,4,1,0,1465.05,2,nonwex1.png
3,29,1,1,3,4,0,2814.22,2,wordex2_2.png
3,30,2,2,3,1,0,943.28,1,nonwex2_5.png
3,31,1,1,4,2,0,1148.85,3,wordex2_3.png
3,32,2,2,4,1,0,1424.18,1,nonwex7.png
3,33,1,2,2,4,0,1232.59,2,wordex6.png
3,34,2,2,3,1,0,1689.35,2,nonwin2.png
3,35,1,2,3,3,1,1045.83,2,wordin7.png
3,36,2,2,2,3,0,1804.75,3,nonwin2_7.png
3,37,1,2,3,4,0,2749.7,3,wordin2.png
3,38,2,1,1,1,1,884.03,3,nonwex3.png
3,39,2,2,1,2,0,1112.89,2,nonwin2_4.png
3,40,2,2,1,1,1,1260.75,3,nonwex2_6.png
3,41,1,2,1,3,0,1174.6,2,wordex7.png
3,42,2,1,1,4,0,1838.09,2,nonwex5.png
3,43,2,2,4,1,0,1172.04,1,nonwex4.png
3,44,1,2,1,4,0,2138.07,1,wordex2_9.png
3,45,1,2,2,2,1,3910.86,2,wordex2_1.png
3,46,2,1,1,3,0,798.6,2,nonwex8.png
3,47,2,1,4,1,0,1279.24,1,nonwin2_11.png
3,48,2,1,3,3,1,1082.57,1,nonwex2_7.png
3,49,2,2,4,4,1,1364.4,2,nonwex2_4.png
3,50,2,2,3,1,0,1216.72,2,nonwin2_6.png
3,51,2,1,2,4,0,1218.27,2,nonwin2_8.png
3,52,2,2,3,3,1,1365.5,2,nonwex9.png
3,53,1,1,4,2,0,957.51,3,wordin5.png
3,54,2,2,2,1,0,1635.2,1,nonwin11.png
3,55,2,2,1,4,0,1595.06,1,nonwin9.png
3,56,1,1,2,2,1,1430.96,3,wordin2_12.png
3,57,1,2,4,4,1,2657.84,4,wordin2_1.png
3,58,1,2,2,3,0,1483.07,2,wordex3.png
