SID,Familiarity,Trial,Repetition,Loc,Resp,Corr,RT,ImgName
2,2,16,1,3,3,1,582.08,unknown_male08.jpg
2,1,17,1,3,3,1,515.63,famous_male14.jpg
2,2,18,2,1,1,1,577.22,unknown_female18.jpg
2,1,19,2,4,4,1,686.74,famous_female03.jpg
2,1,20,2,3,3,1,612.33,famous_male13.jpg
2,1,21,2,3,3,1,657.84,famous_female11.jpg
2,2,22,2,1,1,1,599.41,unknown_male05.jpg
2,1,23,2,1,1,1,420.93,famous_female20.jpg
2,2,24,1,4,4,1,586.51,unknown_male14.jpg
2,2,25,1,4,4,1,448.05,unknown_female03.jpg
2,2,26,2,3,3,1,485.6,unknown_female01.jpg
2,1,27,1,2,2,1,419.19,famous_male03.jpg
2,2,28,2,1,1,1,576.72,unknown_female08.jpg
2,2,29,2,1,1,1,550.26,unknown_male11.jpg
2,1,30,1,3,3,1,595.82,famous_male08.jpg
2,1,31,2,1,1,1,721.36,famous_female15.jpg
2,2,32,2,2,2,1,590.96,unknown_female10.jpg
2,1,33,1,1,1,1,644.46,famous_male10.jpg
2,1,34,2,4,4,1,658.03,famous_male05.jpg
2,2,35,1,1,1,1,647.58,unknown_male19.jpg
2,1,36,1,4,4,1,557.16,famous_male17.jpg
2,2,37,2,2,2,1,754.74,unknown_male15.jpg
2,1,38,1,3,3,1,528.24,famous_male04.jpg
2,2,39,1,3,3,1,533.82,unknown_male18.jpg
2,2,40,1,1,1,1,443.35,unknown_female11.jpg
2,2,41,2,2,2,1,496.82,unknown_male13.jpg
2,1,42,1,4,4,1,526.46,famous_female09.jpg
2,2,43,2,3,3,1,564.03,unknown_male10.jpg
2,2,44,2,4,4,1,497.57,unknown_female13.jpg
2,1,45,1,2,2,1,439.14,famous_male15.jpg
2,1,46,2,2,2,1,828.66,famous_female10.jpg
2,1,47,2,4,4,1,674.21,famous_female07.jpg
2,2,48,1,4,4,1,471.78,unknown_female12.jpg
2,1,49,1,3,3,1,685.35,famous_female08.jpg
2,1,50,1,4,4,1,514.87,famous_male16.jpg
2,2,51,2,1,1,1,536.43,unknown_female15.jpg
2,1,52,1,2,2,1,557.99,famous_female01.jpg
2,1,53,1,1,1,1,779.56,famous_female13.jpg
2,2,54,2,2,2,1,481.06,unknown_female09.jpg
2,2,55,1,4,4,1,582.63,unknown_female20.jpg
2,1,56,2,2,2,1,620.16,famous_male11.jpg
2,2,57,1,2,2,1,641.74,unknown_female07.jpg
2,2,58,1,3,3,1,663.31,unknown_male03.jpg
2,1,59,2,3,3,1,572.86,famous_male09.jpg
2,2,60,1,3,3,1,666.4,unknown_female14.jpg
2,2,61,2,3,3,1,647.98,unknown_male16.jpg
2,2,62,1,2,2,1,445.54,unknown_male01.jpg
2,2,63,2,3,3,1,579.06,unknown_female05.jpg
2,2,64,1,2,2,1,584.62,unknown_male04.jpg
2,1,65,1,3,3,1,582.17,famous_female02.jpg
2,1,66,2,4,4,1,1427.74,famous_male18.jpg
2,2,67,2,4,4,1,697.3,unknown_male12.jpg
2,2,68,2,4,4,1,558.83,unknown_male20.jpg
2,1,69,2,2,2,1,516.39,famous_male06.jpg
2,1,70,1,1,1,1,665.94,famous_male07.jpg
2,2,71,1,2,2,1,447.49,unknown_male17.jpg
2,1,72,1,4,4,1,469.03,famous_female19.jpg
2,1,73,2,2,2,1,442.6,famous_male20.jpg
2,2,74,2,3,3,1,512.15,unknown_male09.jpg
2,2,75,2,2,2,1,397.69,unknown_male06.jpg
2,1,76,2,1,1,1,635.25,famous_male19.jpg
2,1,77,2,1,1,1,424.79,famous_male02.jpg
2,2,78,1,1,1,1,494.29,unknown_female17.jpg
2,1,79,1,4,4,1,467.9,famous_female06.jpg
2,1,80,2,3,3,1,633.47,famous_female05.jpg
3,2,1,1,3,3,1,941.74,unknown_female11.jpg
3,2,2,1,1,1,1,851.27,unknown_male20.jpg
3,1,3,1,2,2,1,680.82,famous_female20.jpg
3,1,4,2,3,3,1,526.3,famous_female02.jpg
3,2,5,1,3,3,1,611.92,unknown_male01.jpg
3,2,6,2,1,1,1,713.47,unknown_female01.jpg
3,1,7,1,2,2,1,655.03,famous_male20.jpg
3,2,8,2,2,2,1,588.59,unknown_male19.jpg
3,2,9,2,4,4,1,882.13,unknown_female14.jpg
3,2,10,1,4,4,1,575.69,unknown_female05.jpg
3,2,11,1,2,2,1,517.25,unknown_male03.jpg
3,2,12,2,2,2,1,458.79,unknown_female03.jpg
3,1,13,1,2,2,1,560.36,famous_male07.jpg
3,1,14,2,1,1,1,453.89,famous_male13.jpg
3,2,15,1,2,2,1,355.48,unknown_male02.jpg
3,1,16,2,1,1,1,441.02,famous_female13.jpg
3,1,17,2,3,3,1,622.59,famous_male11.jpg
3,1,18,2,1,1,1,452.11,famous_female08.jpg
3,1,19,2,2,2,1,633.66,famous_male08.jpg
3,2,20,2,4,4,1,823.2,unknown_male14.jpg
3,2,21,1,1,1,1,660.76,unknown_female16.jpg
3,1,22,2,3,3,1,682.3,famous_female15.jpg
3,2,23,1,1,1,1,664,unknown_female09.jpg
3,2,24,1,2,2,1,805.47,unknown_female04.jpg
3,1,25,1,2,2,1,602.98,famous_male09.jpg
3,1,26,1,4,4,1,888.56,famous_male16.jpg
3,1,27,1,1,1,1,678.08,famous_female09.jpg
3,2,28,1,4,4,1,923.64,unknown_female02.jpg
3,2,29,1,2,2,1,473.31,unknown_male11.jpg
3,1,30,1,4,4,1,670.75,famous_female14.jpg
3,1,31,1,1,1,1,852.3,famous_male10.jpg
3,2,32,2,2,2,1,825.85,unknown_male08.jpg
3,2,33,2,3,3,1,631.4,unknown_female15.jpg
3,1,34,1,3,3,1,428.95,famous_male12.jpg
3,1,35,1,1,1,1,458.5,famous_female06.jpg
3,2,36,2,1,1,1,408.06,unknown_male16.jpg
3,2,37,1,4,4,1,773.61,unknown_male10.jpg
3,1,38,1,3,3,1,547.17,famous_female07.jpg
3,2,39,2,3,3,1,464.72,unknown_male15.jpg
3,1,40,2,3,3,1,558.28,famous_male06.jpg
3,1,41,2,2,2,1,659.82,famous_female11.jpg
3,2,42,2,3,3,1,481.38,unknown_female18.jpg
3,2,43,2,1,1,1,838.93,unknown_female12.jpg
3,1,44,2,4,4,1,660.48,famous_male03.jpg
3,2,45,1,2,2,1,410.06,unknown_female06.jpg
3,1,46,1,4,4,1,935.59,famous_female03.jpg
3,1,47,2,4,4,1,813.19,famous_male18.jpg
3,1,48,1,3,3,1,866.68,famous_female19.jpg
3,2,49,2,2,2,1,600.26,unknown_female10.jpg
3,2,50,1,1,1,1,637.8,unknown_male06.jpg
3,1,51,2,3,3,1,443.35,famous_male17.jpg
3,1,52,1,3,3,1,408.9,famous_male01.jpg
3,2,53,2,3,3,1,430.46,unknown_male18.jpg
3,1,54,1,4,4,1,820.01,famous_female05.jpg
3,1,55,2,2,2,1,377.59,famous_male14.jpg
3,1,56,2,4,4,1,591.11,famous_female04.jpg
3,2,57,1,4,4,1,716.7,unknown_female08.jpg
3,1,58,2,1,1,1,698.22,famous_female12.jpg
3,1,59,2,4,4,1,775.75,famous_female01.jpg
3,2,60,2,4,4,1,661.33,unknown_male17.jpg
3,2,61,2,4,4,1,706.89,unknown_female19.jpg
3,1,62,2,4,4,1,496.39,famous_female10.jpg
3,2,63,2,2,2,1,517.98,unknown_male12.jpg
3,2,64,2,1,1,1,1139.53,unknown_male04.jpg
3,1,65,1,4,4,1,761.09,famous_male19.jpg
3,2,66,2,4,4,1,982.66,unknown_female20.jpg
3,1,67,2,2,2,1,500.22,famous_male02.jpg
3,1,68,1,2,2,1,593.76,famous_female16.jpg
3,1,69,1,1,1,1,1063.32,famous_female18.jpg
3,2,70,1,1,1,1,532.86,unknown_female17.jpg
3,2,71,2,1,1,1,786.42,unknown_female07.jpg
3,2,72,2,3,3,1,743.96,unknown_male05.jpg
3,1,73,1,1,1,1,525.51,famous_male15.jpg
3,1,74,2,2,2,1,819.08,famous_female17.jpg
3,2,75,1,3,3,1,1144.64,unknown_female13.jpg
3,2,76,1,3,3,1,542.19,unknown_male13.jpg
3,1,77,2,1,1,1,563.74,famous_male05.jpg
3,2,78,1,3,3,1,497.29,unknown_male07.jpg
3,1,79,1,3,3,1,430.84,famous_male04.jpg
3,2,80,1,4,4,1,876.4,unknown_male09.jpg
4,2,1,1,2,2,1,917.06,unknown_male12.jpg
4,1,2,2,4,4,1,890.6,famous_female08.jpg
4,1,3,2,3,3,1,784.17,famous_female15.jpg
4,1,4,1,2,2,1,701.74,famous_male07.jpg
4,2,5,1,1,1,1,699.27,unknown_female15.jpg
4,1,6,1,4,4,1,952.78,famous_male14.jpg
4,2,7,1,1,1,1,814.4,unknown_female06.jpg
4,1,8,2,4,4,1,739.92,famous_male04.jpg
4,2,9,2,2,2,1,1313.47,unknown_female12.jpg
4,2,10,2,1,1,1,1319.04,unknown_male14.jpg
4,1,11,2,4,4,1,1228.59,famous_female07.jpg
4,2,12,2,3,3,1,906.19,unknown_female02.jpg
4,1,13,2,2,2,1,1231.71,famous_female13.jpg
4,2,14,2,1,1,1,1709.25,unknown_female17.jpg
4,2,15,1,4,4,1,1786.74,unknown_female13.jpg
4,2,16,2,3,3,1,3256.26,unknown_male03.jpg
4,1,17,2,2,2,1,1621.85,famous_male16.jpg
4,2,18,1,3,3,1,3035.45,unknown_female05.jpg
4,2,19,2,4,4,1,2857.01,unknown_male02.jpg
4,1,20,1,1,1,1,1854.55,famous_female20.jpg
4,2,21,1,2,2,1,1772.1,unknown_male04.jpg
4,2,22,2,3,3,1,1745.65,unknown_male15.jpg
4,1,23,2,2,2,1,1303.24,famous_male06.jpg
4,1,24,2,1,1,1,1364.77,famous_female02.jpg
4,1,25,2,2,2,1,3682.35,famous_male15.jpg
4,2,26,2,2,2,1,1583.87,unknown_female08.jpg
4,2,27,2,4,4,1,2133.46,unknown_female14.jpg
4,1,28,2,2,2,1,1306.98,famous_female11.jpg
4,2,29,1,4,4,1,2479.25,unknown_male07.jpg
4,1,30,2,1,1,1,1374.07,famous_female06.jpg
4,1,31,2,4,4,1,1283.62,famous_male01.jpg
4,1,32,1,3,3,1,2593.19,famous_male02.jpg
4,2,33,1,3,3,1,3246.74,unknown_male05.jpg
4,1,34,2,1,1,1,1604.3,famous_male05.jpg
4,2,35,1,4,4,1,1201.85,unknown_female18.jpg
4,1,36,2,4,4,1,1375.4,famous_female04.jpg
4,2,37,2,2,2,1,1396.99,unknown_male20.jpg
4,2,38,2,3,3,1,1658.52,unknown_male01.jpg
4,2,39,2,2,2,1,1968.05,unknown_male11.jpg
4,1,40,1,1,1,1,1157.61,famous_male03.jpg
4,1,41,1,3,3,1,1035.18,famous_female12.jpg
4,2,42,1,3,3,1,1672.72,unknown_male06.jpg
4,2,43,2,4,4,1,1102.23,unknown_male09.jpg
4,2,44,2,3,3,1,1867.82,unknown_female20.jpg
4,2,45,1,2,2,1,1401.37,unknown_male10.jpg
4,1,46,1,2,2,1,1022.93,famous_male17.jpg
4,2,47,2,1,1,1,1132.49,unknown_female09.jpg
4,1,48,2,1,1,1,1498.05,famous_female09.jpg
4,1,49,1,4,4,1,1183.59,famous_female17.jpg
4,2,50,1,1,1,1,1477.14,unknown_male19.jpg
4,1,51,1,2,2,1,1338.7,famous_female05.jpg
4,1,52,2,1,1,1,1360.25,famous_male19.jpg
4,1,53,2,3,3,1,949.79,famous_male18.jpg
4,2,54,2,1,1,1,1659.37,unknown_male16.jpg
4,2,55,2,1,1,1,1576.91,unknown_female16.jpg
4,2,56,2,4,4,1,1294.45,unknown_female04.jpg
4,1,57,1,3,3,1,1354.27,famous_male12.jpg
4,1,58,1,2,2,1,1111.78,famous_female03.jpg
