SID,Block,Trial,RepTime,Resp,Corr,RT,ImgName
1,1,1,1,0,0,0,unfamfemale17.jpg
1,1,2,1,0,0,0,capture002 copy.jpg
1,1,3,1,0,0,0,capture017 copy.jpg
1,1,4,1,0,0,0,unfammale08.jpg
1,1,5,1,0,0,0,unfammale02.jpg
1,1,6,1,0,0,0,capture011 copy.jpg
1,1,7,1,0,0,0,unfamfemale04.jpg
1,1,8,1,0,0,0,unfamfemale20.jpg
1,1,9,2,0,0,0,unfamfemale17.jpg
1,1,10,1,0,0,0,unfamfemale24.jpg
1,1,11,1,0,0,0,unfamfemale39.jpg
1,1,12,1,0,0,0,unfamfemale15.jpg
1,1,13,1,0,0,0,unfammale12.jpg
1,1,14,1,0,0,0,unfamfemale03.jpg
1,1,15,1,0,0,0,unfammale35.jpg
1,1,16,3,1,0,809.34,unfamfemale17.jpg
1,1,17,1,0,0,0,capture016 copy.jpg
1,1,18,2,0,0,0,capture016 copy.jpg
1,1,19,2,0,0,0,capture017 copy.jpg
1,1,20,1,0,0,0,capture005 copy.jpg
1,1,21,1,0,0,0,unfamfemale32.jpg
1,1,22,1,0,0,0,unfammale16.jpg
1,1,23,2,0,0,0,unfamfemale20.jpg
1,1,24,2,0,0,0,unfamfemale04.jpg
1,1,25,1,0,0,0,unfamfemale37.jpg
1,1,26,1,0,0,0,capture021 copy.jpg
1,1,27,1,0,0,0,unfammale39.jpg
1,1,28,1,0,0,0,unfammale28.jpg
1,1,29,2,0,0,0,unfamfemale32.jpg
1,1,30,1,0,0,0,unfamfemale40.jpg
1,1,31,1,0,0,0,capture012 copy.jpg
1,1,32,1,0,0,0,capture015 copy.jpg
1,1,33,1,0,0,0,unfammale38.jpg
1,1,34,2,0,0,0,unfamfemale03.jpg
1,1,35,2,0,0,0,unfammale16.jpg
1,1,36,1,0,0,0,unfamfemale26.jpg
1,1,37,2,0,0,0,unfammale28.jpg
1,1,38,1,0,0,0,unfamfemale10.jpg
1,1,39,1,0,0,0,unfamfemale08.jpg
1,1,40,2,0,0,0,unfamfemale10.jpg
1,1,41,2,0,0,0,capture021 copy.jpg
1,1,42,2,0,0,0,unfammale39.jpg
1,1,43,3,0,0,0,unfamfemale03.jpg
1,1,44,1,0,0,0,unfammale05.jpg
1,1,45,1,0,0,0,capture013 copy.jpg
1,1,46,1,0,0,0,unfamfemale06.jpg
1,1,47,1,0,0,0,unfamfemale05.jpg
1,1,48,3,0,0,0,unfamfemale32.jpg
1,1,49,2,0,0,0,unfamfemale05.jpg
