SID,Familiarity,RepTime,Trial,ImgCat,Resp,Corr,RT,ImgName
1,2,3,17,1,1,1,396.81,unknown_male17.jpg
1,2,3,18,2,2,1,460.8,unknown_female07.jpg
1,1,3,19,1,1,1,605.18,famous_male13.jpg
1,1,3,20,2,2,1,429.2,famous_female13.jpg
1,1,3,21,1,1,1,396.75,famous_male03.jpg
1,1,3,22,1,1,1,461.15,famous_male06.jpg
1,2,3,23,1,1,1,668.73,unknown_male05.jpg
1,1,3,24,2,2,1,373.09,famous_female04.jpg
1,1,3,25,2,2,1,437.16,famous_female12.jpg
1,1,3,26,1,1,1,412.68,famous_male20.jpg
1,2,3,27,1,1,1,404.7,unknown_male01.jpg
1,1,3,28,1,1,1,437.07,famous_male18.jpg
1,1,3,29,1,1,1,477.05,famous_male01.jpg
1,2,3,30,1,1,1,572.15,unknown_male08.jpg
1,2,3,31,1,1,1,548.62,unknown_male11.jpg
1,1,3,32,2,2,1,452.6,famous_female05.jpg
1,2,3,33,2,2,1,508.99,unknown_female20.jpg
1,2,3,34,2,2,1,580.68,unknown_female09.jpg
1,1,3,35,2,2,1,508.97,famous_female16.jpg
1,1,3,36,2,2,1,548.93,famous_female01.jpg
1,2,3,37,2,2,1,596.93,unknown_female02.jpg
1,1,3,38,2,2,1,628.52,famous_female09.jpg
1,2,3,39,2,2,1,764.92,unknown_female06.jpg
1,2,3,40,2,2,1,484.04,unknown_female15.jpg
1,1,4,1,1,1,1,527.48,famous_male03.jpg
1,1,4,2,1,1,1,455.4,famous_male10.jpg
1,1,4,3,1,1,1,887.4,famous_male14.jpg
1,1,4,4,2,2,1,567.38,famous_female10.jpg
1,1,4,5,1,1,1,846.95,famous_male12.jpg
1,2,4,6,2,2,1,422.94,unknown_female04.jpg
1,1,4,7,2,2,1,399.33,famous_female05.jpg
1,1,4,8,2,2,1,406.51,famous_female01.jpg
1,1,4,9,2,2,1,647.31,famous_female04.jpg
1,1,4,10,1,1,1,446.91,famous_male11.jpg
1,2,4,11,2,2,1,510.43,unknown_female05.jpg
1,1,4,12,2,2,1,471.35,famous_female09.jpg
