SID,Familiarity,Trial,Repetition,ImgCat,Loc,Resp,Corr,RT,ImgName
40,1,46,2,1,4,4,1,560.23,famous_male09.jpg
40,1,47,1,1,1,1,1,780.36,famous_male23.jpg
40,1,48,2,1,3,3,1,1232.42,famous_male01.jpg
41,2,1,2,2,1,1,1,1813.11,unknown_female24.jpg
41,2,2,1,1,2,2,1,889.26,unknown_male05.jpg
41,2,3,1,2,1,1,1,917.34,unknown_female06.jpg
41,2,4,2,2,4,4,1,913.47,unknown_female14.jpg
41,2,5,1,1,2,2,1,741.52,unknown_male06.jpg
41,2,6,2,1,2,2,1,849.61,unknown_male14.jpg
41,2,7,1,1,2,2,1,749.65,unknown_male03.jpg
41,2,8,2,1,4,4,1,1465.78,unknown_male02.jpg
41,2,9,1,2,4,4,1,1093.86,unknown_female13.jpg
41,2,10,1,1,1,1,1,1305.95,unknown_male13.jpg
41,2,11,1,2,2,2,1,982.04,unknown_female02.jpg
41,2,12,1,1,1,1,1,978.14,unknown_male01.jpg
41,2,13,2,1,1,1,1,518.17,unknown_male18.jpg
41,2,14,1,1,4,4,1,2074.27,unknown_male22.jpg
41,2,15,2,1,3,3,1,1422.34,unknown_male09.jpg
41,2,16,2,2,3,3,1,970.48,unknown_female03.jpg
41,2,17,1,2,2,2,1,750.54,unknown_female05.jpg
41,2,18,2,2,1,1,1,810.66,unknown_female08.jpg
41,2,19,2,2,2,2,1,2030.74,unknown_female17.jpg
41,2,20,2,2,2,2,1,2034.79,unknown_female01.jpg
41,2,21,1,2,1,1,1,1054.95,unknown_female10.jpg
41,2,22,2,2,1,1,1,3003.02,unknown_female07.jpg
41,2,23,2,2,3,3,1,791.08,unknown_female16.jpg
41,2,24,1,2,3,3,1,1491.11,unknown_female19.jpg
41,2,25,1,1,3,3,1,967.26,unknown_male07.jpg
41,2,26,2,2,4,4,1,1059.35,unknown_female21.jpg
41,2,27,2,2,2,2,1,1479.44,unknown_female09.jpg
41,2,28,2,1,1,1,1,1043.52,unknown_male16.jpg
41,2,29,2,1,4,4,1,1479.57,unknown_male12.jpg
41,2,30,1,1,3,3,1,1219.69,unknown_male11.jpg
41,2,31,2,1,1,1,1,791.8,unknown_male19.jpg
41,2,32,2,1,3,3,1,659.89,unknown_male10.jpg
41,2,33,1,2,1,1,1,1007.95,unknown_female22.jpg
41,2,34,1,2,2,2,1,1108.02,unknown_female04.jpg
41,2,35,1,2,4,4,1,696.14,unknown_female12.jpg
41,2,36,1,1,1,1,1,876.22,unknown_male15.jpg
41,2,37,1,1,4,4,1,1144.28,unknown_male20.jpg
41,2,38,2,1,2,4,0,2172.39,unknown_male08.jpg
41,2,39,2,2,4,4,1,888.49,unknown_female20.jpg
41,2,40,1,1,3,3,1,748.57,unknown_male24.jpg
41,2,41,2,1,3,3,1,944.65,unknown_male17.jpg
41,2,42,2,2,3,3,1,516.76,unknown_female18.jpg
41,2,43,2,1,4,4,1,608.84,unknown_male21.jpg
41,2,44,1,1,4,4,1,404.88,unknown_male23.jpg
41,2,45,1,2,3,3,1,625.01,unknown_female15.jpg
41,2,46,2,1,2,2,1,749.1,unknown_male04.jpg
41,2,47,1,2,3,3,1,1065.2,unknown_female23.jpg
41,2,48,1,2,4,4,1,589.27,unknown_female11.jpg
42,1,1,1,1,2,2,1,562.28,famous_male10.jpg
42,1,2,1,2,1,1,1,734.43,famous_female23.jpg
42,1,3,1,2,2,2,1,906.52,famous_female15.jpg
42,1,4,2,2,3,3,1,1094.61,famous_female07.jpg
42,1,5,2,1,2,2,1,802.68,famous_male20.jpg
42,1,6,2,1,1,1,1,765.93,famous_male15.jpg
42,1,7,2,2,3,3,1,786.08,famous_female13.jpg
42,1,8,1,2,4,4,1,798.25,famous_female06.jpg
42,1,9,2,2,4,4,1,658.29,famous_female17.jpg
42,1,10,2,1,3,3,1,582.44,famous_male09.jpg
42,1,11,1,2,4,4,1,530.53,famous_female22.jpg
42,1,12,1,1,4,4,1,582.61,famous_male01.jpg
42,1,13,1,2,4,4,1,594.65,famous_female04.jpg
42,1,14,2,2,2,2,1,1158.75,famous_female08.jpg
42,1,15,1,1,3,3,1,450.76,famous_male21.jpg
42,1,16,2,2,1,1,1,726.92,famous_female20.jpg
42,1,17,2,1,3,3,1,659.05,famous_male03.jpg
42,1,18,2,1,4,4,1,711.06,famous_male19.jpg
42,1,19,2,2,1,1,1,587.2,famous_female09.jpg
42,1,20,1,1,1,1,1,495.31,famous_male04.jpg
42,1,21,2,2,2,2,1,515.4,famous_female21.jpg
42,1,22,1,2,2,2,1,599.44,famous_female02.jpg
42,1,23,1,2,3,3,1,675.56,famous_female19.jpg
42,1,24,2,2,4,4,1,631.65,famous_female05.jpg
42,1,25,2,1,2,2,1,651.76,famous_male02.jpg
42,1,26,2,1,1,1,1,631.83,famous_male06.jpg
42,1,27,2,2,4,4,1,547.92,famous_female10.jpg
42,1,28,2,1,3,3,1,568,famous_male22.jpg
42,1,29,1,2,1,1,1,612.11,famous_female18.jpg
42,1,30,1,1,2,2,1,536.15,famous_male17.jpg
42,1,31,1,1,4,4,1,692.23,famous_male18.jpg
42,1,32,1,2,1,1,1,504.35,famous_female03.jpg
42,1,33,2,1,4,4,1,540.47,famous_male12.jpg
42,1,34,1,2,2,2,1,512.53,famous_female14.jpg
42,1,35,2,1,4,4,1,540.62,famous_male08.jpg
42,1,36,1,2,3,3,1,536.72,famous_female24.jpg
42,1,37,1,1,3,3,1,580.79,famous_male16.jpg
42,1,38,2,2,3,3,1,496.9,famous_female01.jpg
42,1,39,1,1,2,2,1,500.82,famous_male13.jpg
42,1,40,2,2,1,1,1,465.07,famous_female16.jpg
42,1,41,1,1,1,1,1,789.14,famous_male05.jpg
42,1,42,1,1,1,1,1,537.23,famous_male24.jpg
42,1,43,1,1,3,3,1,749.31,famous_male14.jpg
42,1,44,1,2,3,3,1,617.39,famous_female11.jpg
42,1,45,2,1,2,2,1,485.51,famous_male07.jpg
42,1,46,2,2,2,2,1,697.57,famous_female12.jpg
42,1,47,2,1,1,1,1,629.67,famous_male23.jpg
42,1,48,1,1,4,4,1,529.75,famous_male11.jpg
43,2,1,1,2,4,4,1,1596.63,unknown_female21.jpg
43,2,2,1,2,2,2,1,1216.75,unknown_female03.jpg
43,2,3,1,1,3,3,1,1076.86,unknown_male01.jpg
43,2,4,2,2,2,2,1,1856.97,unknown_female07.jpg
43,2,5,2,1,2,2,1,1413.04,unknown_male13.jpg
43,2,6,2,1,3,3,1,1673.13,unknown_male22.jpg
43,2,7,1,1,1,1,1,629.24,unknown_male23.jpg
43,2,8,1,2,3,3,1,665.3,unknown_female20.jpg
43,2,9,2,1,1,1,1,605.4,unknown_male16.jpg
43,2,10,2,1,2,2,1,633.48,unknown_male24.jpg
43,2,11,1,2,3,3,1,701.56,unknown_female18.jpg
43,2,12,1,2,1,1,1,489.63,unknown_female04.jpg
43,2,13,2,1,4,4,1,565.74,unknown_male06.jpg
43,2,14,1,1,2,2,1,665.83,unknown_male20.jpg
43,2,15,1,2,1,1,1,461.96,unknown_female13.jpg
43,2,16,2,2,2,2,1,546,unknown_female06.jpg
43,2,17,1,1,1,1,1,1046.12,unknown_male21.jpg
43,2,18,1,1,3,3,1,746.17,unknown_male04.jpg
43,2,19,1,1,1,1,1,542.27,unknown_male08.jpg
43,2,20,1,2,2,2,1,1426.38,unknown_female09.jpg
43,2,21,2,1,1,1,1,686.44,unknown_male10.jpg
43,2,22,1,1,2,2,1,578.58,unknown_male05.jpg
43,2,23,2,1,3,3,1,582.5,unknown_male17.jpg
43,2,24,2,2,3,3,1,642.74,unknown_female08.jpg
43,2,25,2,2,1,1,1,726.79,unknown_female19.jpg
43,2,26,2,2,4,4,1,682.88,unknown_female23.jpg
43,2,27,1,1,2,2,1,630.96,unknown_male02.jpg
43,2,28,2,1,2,2,1,619.05,unknown_male03.jpg
43,2,29,1,2,4,4,1,623.14,unknown_female12.jpg
43,2,30,2,1,4,4,1,459.23,unknown_male19.jpg
43,2,31,1,1,3,3,1,543.31,unknown_male18.jpg
43,2,32,2,2,3,3,1,531.37,unknown_female14.jpg
43,2,33,2,2,2,2,1,567.5,unknown_female24.jpg
43,2,34,2,1,1,1,1,603.58,unknown_male07.jpg
43,2,35,1,2,4,4,1,447.67,unknown_female01.jpg
43,2,36,2,2,3,3,1,603.72,unknown_female11.jpg
43,2,37,2,2,1,1,1,727.77,unknown_female17.jpg
43,2,38,1,1,4,4,1,555.92,unknown_male14.jpg
43,2,39,2,2,4,4,1,808.01,unknown_female02.jpg
43,2,40,2,2,4,4,1,596.08,unknown_female16.jpg
43,2,41,2,1,3,3,1,632.19,unknown_male09.jpg
43,2,42,1,2,1,1,1,484.2,unknown_female05.jpg
43,2,43,1,2,3,3,1,488.37,unknown_female15.jpg
43,2,44,1,1,4,4,1,644.46,unknown_male15.jpg
43,2,45,1,1,4,4,1,520.54,unknown_male12.jpg
43,2,46,1,2,2,2,1,676.59,unknown_female10.jpg
43,2,47,2,1,4,4,1,568.71,unknown_male11.jpg
43,2,48,2,2,1,1,1,468.8,unknown_female22.jpg
44,1,1,2,1,2,2,1,709.16,famous_male19.jpg
44,1,2,1,2,3,3,1,953.29,famous_female13.jpg
44,1,3,1,1,4,4,1,629.29,famous_male20.jpg
44,1,4,1,2,1,1,1,457.45,famous_female05.jpg
44,1,5,1,2,3,3,1,661.55,famous_female10.jpg
44,1,6,1,1,4,4,1,553.58,famous_male11.jpg
44,1,7,1,2,2,2,1,933.74,famous_female03.jpg
44,1,8,2,2,3,3,1,601.8,famous_female11.jpg
44,1,9,2,1,1,1,1,589.89,famous_male12.jpg
44,1,10,1,2,2,2,1,457.98,famous_female07.jpg
44,1,11,1,1,1,1,1,518.07,famous_male17.jpg
44,1,12,1,1,1,1,1,474.16,famous_male18.jpg
44,1,13,2,1,1,1,1,814.24,famous_male05.jpg
44,1,14,2,1,2,2,1,378.33,famous_male14.jpg
44,1,15,2,2,4,4,1,1078.39,famous_female09.jpg
44,1,16,1,1,4,4,1,890.5,famous_male21.jpg
44,1,17,1,1,2,2,1,518.6,famous_male09.jpg
44,1,18,2,2,2,2,1,458.68,famous_female14.jpg
44,1,19,2,1,3,3,1,646.77,famous_male16.jpg
44,1,20,1,2,1,1,1,474.87,famous_female21.jpg
44,1,21,2,1,4,4,1,598.9,famous_male07.jpg
44,1,22,2,1,1,1,1,371.03,famous_male13.jpg
44,1,23,2,2,4,4,1,583.08,famous_female17.jpg
