SID,RepTime,Trial,Resp,Corr,RT,ImgName
1,6,1,1,1,593.64,nonwin2_7.png
1,6,2,1,1,498.36,nonwin1.png
1,6,3,1,1,475.09,nonwex2.png
1,6,4,1,1,547.83,nonwex4.png
1,6,5,2,1,684.51,nonwex2_7.png
1,6,6,1,1,573.29,nonwin12.png
1,6,7,2,1,542.02,nonwex2_11.png
1,6,8,1,1,518.71,nonwex8.png
1,6,9,1,1,511.49,nonwin2_8.png
1,6,10,0,0,0,nonwin2_4.png
1,6,11,1,1,432.95,nonwex2_5.png
1,6,12,1,1,465.69,nonwin2.png
1,6,13,1,1,474.42,nonwex6.png
1,6,14,2,1,619.09,nonwex3.png
1,6,15,0,0,0,nonwin2_1.png
1,6,16,1,1,500.59,nonwex2_9.png
1,6,17,1,1,501.28,nonwin6.png
1,6,18,1,1,526.03,nonwin2_2.png
1,6,19,0,0,0,nonwex11.png
1,6,20,0,0,0,nonwex2_8.png
1,6,21,0,0,0,nonwex2_6.png
1,6,22,1,1,304.98,nonwin2_11.png
1,6,23,2,1,641.73,nonwin8.png
1,6,24,1,1,586.46,nonwin7.png
1,7,1,1,1,684.24,nonwin7.png
1,7,2,1,1,700.97,nonwin2_8.png
1,7,3,2,1,557.7,nonwex3.png
1,7,4,1,1,686.39,nonwin2_4.png
1,7,5,0,0,0,nonwin2_11.png
1,7,6,0,0,0,nonwex2_8.png
1,7,7,0,0,0,nonwex8.png
1,7,8,1,1,553.31,nonwin1.png
1,7,9,0,0,0,nonwin2.png
1,7,10,0,0,0,nonwex4.png
1,7,11,0,0,0,nonwex2_11.png
1,7,12,1,1,324.27,nonwin8.png
1,7,13,0,0,0,nonwin2_7.png
1,7,14,0,0,0,nonwex6.png
1,7,15,1,1,390.43,nonwin6.png
1,7,16,0,0,0,nonwex2_9.png
1,7,17,1,1,367.89,nonwex2_7.png
1,7,18,1,1,448.61,nonwin2_1.png
1,7,19,0,0,0,nonwin12.png
1,7,20,1,1,346.08,nonwex2_5.png
1,7,21,0,0,0,nonwex2_6.png
1,7,22,0,0,0,nonwin2_2.png
1,7,23,0,0,0,nonwex11.png
1,7,24,0,0,0,nonwex2.png
1,8,1,1,1,476.26,nonwin2_1.png
1,8,2,1,1,404.98,nonwin8.png
1,8,3,0,0,0,nonwex2.png
1,8,4,0,0,0,nonwin2_11.png
1,8,5,1,1,223.17,nonwex3.png
1,8,6,1,1,295.89,nonwex2_7.png
1,8,7,1,1,624.63,nonwex2_11.png
1,8,8,1,1,497.37,nonwin2.png
1,8,9,1,1,362.09,nonwin2_7.png
1,8,10,1,1,370.77,nonwin2_2.png
1,8,11,1,1,427.54,nonwex8.png
1,8,12,1,1,492.28,nonwin2_8.png
1,8,13,1,1,413.01,nonwex2_6.png
1,8,14,1,1,365.71,nonwex4.png
1,8,15,1,1,406.42,nonwin6.png
1,8,16,1,1,311.2,nonwin7.png
1,8,17,1,1,239.87,nonwex2_8.png
1,8,18,1,1,200.62,nonwin2_4.png
1,8,19,1,1,273.34,nonwex6.png
1,8,20,1,1,258.08,nonwin12.png
1,8,21,1,1,285.48,nonwex2_9.png
1,8,22,1,1,342.21,nonwex11.png
1,8,23,1,1,278.92,nonwin1.png
1,8,24,1,1,287.71,nonwex2_5.png
2,1,1,2,1,1367.98,nonwin2_6.png
2,1,2,1,1,867.55,nonwin2.png
2,1,3,1,1,679.72,nonwex5.png
2,1,4,2,1,731.98,nonwex8.png
2,1,5,1,1,888.21,nonwex2_5.png
2,1,6,1,1,772.43,nonwex9.png
2,1,7,2,1,648.68,nonwex2_11.png
2,1,8,2,1,692.9,nonwex7.png
2,1,9,2,1,801.17,nonwex2_1.png
2,1,10,1,1,749.35,nonwin4.png
2,1,11,1,1,809.63,nonwex3.png
2,1,12,1,1,901.86,nonwin1.png
2,1,13,2,1,650.09,nonwex2_9.png
2,1,14,1,1,654.3,nonwex2_12.png
2,1,15,1,1,730.54,nonwin9.png
2,1,16,2,1,814.78,nonwex2.png
2,1,17,1,1,762.98,nonwin2_11.png
2,1,18,2,1,751.23,nonwex2_3.png
2,1,19,1,1,699.42,nonwex2_8.png
2,1,20,1,1,759.63,nonwin2_12.png
2,1,21,2,1,859.87,nonwex10.png
2,1,22,1,1,752.11,nonwin6.png
2,1,23,1,1,748.31,nonwin11.png
2,1,24,2,1,664.62,nonwin2_7.png
2,2,1,1,1,660.8,nonwex3.png
2,2,2,2,1,913.04,nonwex2.png
2,2,3,1,1,725.31,nonwin2_6.png
2,2,4,1,1,745.53,nonwex2_12.png
2,2,5,2,1,589.74,nonwex2_11.png
2,2,6,1,1,682,nonwex7.png
2,2,7,1,1,678.18,nonwin4.png
2,2,8,2,1,650.44,nonwex8.png
2,2,9,1,1,822.65,nonwex2_3.png
2,2,10,1,1,642.87,nonwin6.png
2,2,11,1,1,703.15,nonwin2_12.png
2,2,12,2,1,955.34,nonwex2_5.png
2,2,13,1,1,879.61,nonwex10.png
2,2,14,1,1,827.83,nonwin1.png
2,2,15,2,1,584.07,nonwin2_7.png
2,2,16,2,1,732.26,nonwex2_9.png
2,2,17,1,1,656.52,nonwex2_8.png
2,2,18,2,1,940.71,nonwin11.png
2,2,19,1,1,736.99,nonwex9.png
2,2,20,2,1,821.22,nonwex2_1.png
2,2,21,1,1,865.39,nonwin9.png
2,2,22,1,1,853.62,nonwex5.png
2,2,23,1,1,705.85,nonwin2.png
2,2,24,1,1,782.14,nonwin2_11.png
2,3,1,1,1,784.9,nonwex2_1.png
2,3,2,1,1,661.16,nonwin2_6.png
2,3,3,1,1,593.38,nonwex2_5.png
2,3,4,1,1,629.61,nonwex3.png
2,3,5,2,1,665.82,nonwex2_3.png
2,3,6,2,1,710.02,nonwex2.png
