SID,Trial,Familiarity,Repetition,AscLoc,SrcResp,Corr,RT,Confident,ImgName
2,21,2,1,3,4,0,4158.7,3,unknown_male18.jpg
2,22,2,2,2,4,0,2793.24,3,unknown_male06.jpg
2,23,2,2,3,2,0,1950.92,3,unknown_male16.jpg
2,24,1,1,1,1,1,2938.4,4,famous_male07.jpg
2,25,1,1,1,1,1,1168.83,4,famous_male10.jpg
2,26,1,1,1,1,1,1292.13,4,famous_female17.jpg
2,27,1,2,3,3,1,2654.4,4,famous_male09.jpg
2,28,1,1,2,2,1,5853.18,3,famous_male03.jpg
2,29,1,1,4,1,0,4304.83,2,famous_female19.jpg
2,30,2,1,1,2,0,2443.04,3,unknown_male19.jpg
2,31,1,1,3,1,0,8672.59,2,famous_male08.jpg
2,32,1,2,4,4,1,1232.54,4,famous_female03.jpg
2,33,2,1,3,3,1,1987.76,4,unknown_female06.jpg
2,34,2,2,4,4,1,1430.59,4,unknown_male20.jpg
2,35,1,1,4,2,0,3281.77,3,famous_male17.jpg
2,36,1,1,3,3,1,3255.41,3,famous_female08.jpg
2,37,1,1,2,2,1,2341.98,4,famous_male15.jpg
2,38,1,1,2,2,1,1404.1,4,famous_female01.jpg
2,39,2,2,3,4,0,3691.57,2,unknown_female01.jpg
2,40,1,1,2,1,0,3448.78,4,famous_female16.jpg
2,41,1,2,2,2,1,1589.14,4,famous_female10.jpg
2,42,1,2,3,3,1,1797.58,4,famous_male13.jpg
2,43,1,2,4,2,0,3404.32,3,famous_female18.jpg
2,44,1,2,1,1,1,3814.79,3,famous_female15.jpg
2,45,2,1,2,4,0,3037.52,2,unknown_male17.jpg
2,46,1,2,1,1,1,4839.39,3,famous_male19.jpg
2,47,2,1,1,2,0,3131.79,2,unknown_female17.jpg
2,48,2,2,1,4,0,5029.9,2,unknown_female18.jpg
2,49,2,1,3,2,0,7832.73,2,unknown_male08.jpg
2,50,2,2,4,4,1,7492,2,unknown_female19.jpg
2,51,2,1,1,2,0,2037.53,2,unknown_female02.jpg
2,52,2,1,4,4,1,2243.9,2,unknown_male02.jpg
2,53,1,2,1,1,1,1909.09,4,famous_female20.jpg
2,54,2,2,3,4,0,2611.43,2,unknown_female05.jpg
2,55,1,1,3,1,0,3110.67,3,famous_male04.jpg
2,56,1,1,4,1,0,3109.31,3,famous_male16.jpg
2,57,1,2,2,2,1,1561.24,4,famous_male06.jpg
2,58,1,2,3,3,1,1421.08,4,famous_male01.jpg
2,59,1,2,2,2,1,1640.26,2,famous_male20.jpg
2,60,2,2,3,4,0,5167.73,2,unknown_male09.jpg
2,61,1,2,3,3,1,5921.2,4,famous_female11.jpg
2,62,2,1,2,2,1,2102.78,2,unknown_male04.jpg
2,63,2,1,1,2,0,1406,3,unknown_male07.jpg
2,64,2,1,2,1,0,2931.36,4,unknown_female04.jpg
2,65,2,1,4,4,1,2911.97,2,unknown_female03.jpg
2,66,2,2,1,4,0,1178.88,2,unknown_female08.jpg
2,67,2,1,1,1,1,3093.18,3,unknown_female11.jpg
2,68,1,2,2,2,1,3549.51,3,famous_male11.jpg
2,69,1,2,4,4,1,1211.63,4,famous_male18.jpg
2,70,1,2,1,2,0,1796.52,3,famous_male02.jpg
2,71,1,1,2,2,1,2254.17,3,famous_male12.jpg
2,72,2,2,3,2,0,2250.24,2,unknown_male10.jpg
2,73,2,2,2,2,1,2304.12,2,unknown_female09.jpg
2,74,2,2,1,2,0,1235.89,2,unknown_male11.jpg
2,75,2,2,4,4,1,3523.99,2,unknown_female13.jpg
2,76,1,1,4,1,0,3921.76,3,famous_female09.jpg
2,77,1,2,3,3,1,1384.2,4,famous_female05.jpg
2,78,1,2,2,2,1,1316.84,4,famous_female14.jpg
2,79,2,2,2,4,0,1458.95,2,unknown_female10.jpg
2,80,2,1,4,4,1,1459.01,2,unknown_female20.jpg
3,1,2,1,3,1,0,5393.4,1,unknown_male13.jpg
3,2,1,1,3,3,1,1528.79,4,famous_female07.jpg
3,3,1,1,3,3,1,1475.28,4,famous_male01.jpg
3,4,1,2,3,1,0,7201.7,3,famous_male11.jpg
3,5,2,1,2,2,1,1891.12,3,unknown_male11.jpg
3,6,1,2,1,3,0,2312.6,2,famous_female12.jpg
3,7,1,2,1,2,0,4907.04,3,famous_male05.jpg
3,8,2,1,1,3,0,4832.98,1,unknown_female09.jpg
3,9,2,2,1,4,0,3563.8,2,unknown_female07.jpg
3,10,2,2,4,4,1,3792.88,4,unknown_male14.jpg
3,11,2,1,2,2,1,1964.3,4,unknown_female04.jpg
3,12,1,1,2,2,1,2184.13,3,famous_male20.jpg
3,13,1,2,4,4,1,1532.19,4,famous_male03.jpg
3,14,2,1,1,2,0,1746.18,3,unknown_female16.jpg
3,15,1,1,1,2,0,3729.98,3,famous_female06.jpg
3,16,1,1,2,2,1,1096.55,3,famous_male07.jpg
3,17,2,2,1,3,0,1808.75,3,unknown_male16.jpg
3,18,1,2,3,1,0,1820.76,2,famous_female02.jpg
3,19,2,2,1,1,1,2805.14,1,unknown_male04.jpg
3,20,2,1,4,2,0,1657.08,3,unknown_male10.jpg
3,21,1,2,2,2,1,1590.03,4,famous_male14.jpg
3,22,1,1,2,2,1,1105.99,4,famous_male09.jpg
3,23,2,1,2,2,1,3080.86,3,unknown_male03.jpg
3,24,1,1,2,2,1,1707.75,3,famous_female20.jpg
3,25,2,1,3,4,0,1833.38,3,unknown_female13.jpg
3,26,1,1,4,2,0,3312.3,3,famous_male16.jpg
3,27,2,2,2,2,1,1688.45,4,unknown_female10.jpg
3,28,1,1,1,3,0,1577.44,3,famous_female09.jpg
3,29,1,2,1,1,1,1696.73,4,famous_male13.jpg
3,30,2,2,3,4,0,1804.07,3,unknown_female18.jpg
3,31,2,1,1,2,0,1540.24,3,unknown_male20.jpg
3,32,2,2,4,4,1,2851.18,2,unknown_female20.jpg
3,33,2,2,1,3,0,1819.76,2,unknown_female12.jpg
3,34,2,1,3,3,1,4291.47,3,unknown_female11.jpg
3,35,1,2,1,1,1,3278.85,3,famous_female08.jpg
3,36,2,2,1,2,0,2178.76,1,unknown_female01.jpg
3,37,1,1,3,1,0,6151.28,2,famous_male12.jpg
3,38,1,2,3,1,0,1719.51,2,famous_male06.jpg
3,39,1,1,1,3,0,3324.86,3,famous_male15.jpg
3,40,1,2,2,1,0,1740.29,2,famous_male02.jpg
3,41,1,2,3,3,1,1576.84,3,famous_female15.jpg
3,42,2,1,4,2,0,1712.21,3,unknown_female05.jpg
3,43,2,1,4,2,0,1462.25,3,unknown_female08.jpg
3,44,2,1,3,1,0,3736.23,3,unknown_male01.jpg
3,45,2,2,2,3,0,1638.81,2,unknown_male12.jpg
3,46,2,1,3,1,0,1625.39,2,unknown_male07.jpg
3,47,1,1,3,2,0,1560.77,3,famous_male04.jpg
3,48,1,2,2,2,1,1351.45,4,famous_male08.jpg
3,49,2,1,4,4,1,2023.64,2,unknown_male09.jpg
3,50,2,1,2,3,0,1702.07,3,unknown_female06.jpg
3,51,2,2,3,4,0,2068.87,3,unknown_male18.jpg
3,52,2,2,2,1,0,1703.98,1,unknown_male08.jpg
3,53,1,2,3,2,0,3754.51,3,famous_male17.jpg
3,54,1,1,3,3,1,1304.47,4,famous_female19.jpg
3,55,1,1,2,2,1,1547.09,3,famous_female16.jpg
3,56,2,2,3,1,0,1411.91,1,unknown_male15.jpg
3,57,2,2,4,3,0,1725.14,2,unknown_male17.jpg
3,58,1,2,2,1,0,1628.22,1,famous_female17.jpg
3,59,2,1,4,2,0,3722.18,3,unknown_female02.jpg
3,60,2,2,4,4,1,2348.41,4,unknown_female19.jpg
3,61,1,2,2,2,1,1721.84,4,famous_female11.jpg
3,62,2,1,2,3,0,1369.2,3,unknown_male02.jpg
3,63,1,2,4,4,1,1726.53,4,famous_female01.jpg
3,64,1,1,4,4,1,3630.98,4,famous_female03.jpg
3,65,1,2,4,4,1,1195.97,4,famous_male18.jpg
3,66,2,2,3,3,1,2822.92,3,unknown_female15.jpg
3,67,1,2,1,3,0,1587.35,3,famous_female13.jpg
3,68,2,2,4,2,0,2724.56,1,unknown_female14.jpg
3,69,1,1,4,3,0,1565.75,2,famous_female05.jpg
3,70,1,1,1,3,0,3168.69,2,famous_female18.jpg
3,71,2,2,2,2,1,3897.42,2,unknown_male19.jpg
3,72,2,2,2,3,0,1528.37,1,unknown_female03.jpg
3,73,1,1,1,4,0,1613.74,3,famous_male10.jpg
3,74,1,2,4,4,1,1902.72,2,famous_female10.jpg
3,75,1,2,4,1,0,2204.34,1,famous_female04.jpg
3,76,2,1,1,2,0,2796.69,3,unknown_female17.jpg
3,77,2,2,3,2,0,1082.86,3,unknown_male05.jpg
3,78,1,1,4,3,0,1366.52,3,famous_female14.jpg
3,79,1,1,4,2,0,1804.79,3,famous_male19.jpg
3,80,2,1,1,1,1,1534.8,2,unknown_male06.jpg
4,1,1,2,2,2,1,2037.58,4,famous_male15.jpg
4,2,2,2,3,3,1,6618.82,1,unknown_male01.jpg
4,3,2,2,3,4,0,3524,3,unknown_male03.jpg
4,4,1,2,2,2,1,9503.61,2,famous_male06.jpg
4,5,2,1,3,3,1,1498.94,4,unknown_female03.jpg
4,6,1,2,4,4,1,1179.01,4,famous_male01.jpg
4,7,2,2,1,1,1,3059.25,2,unknown_female09.jpg
4,8,1,1,3,3,1,1455.12,4,famous_male12.jpg
4,9,1,2,4,4,1,9516.9,1,famous_female08.jpg
4,10,2,2,3,1,0,10441.63,1,unknown_male15.jpg
4,11,1,1,3,3,1,3660.35,4,famous_male13.jpg
4,12,2,2,3,1,0,14520.59,1,unknown_female02.jpg
4,13,1,1,3,3,1,1362.11,4,famous_female12.jpg
4,14,2,1,4,4,1,2305.18,3,unknown_female01.jpg
4,15,1,2,1,1,1,1929.26,4,famous_female02.jpg
4,16,1,2,3,3,1,3300.73,3,famous_male20.jpg
4,17,2,1,4,4,1,5477.81,2,unknown_female13.jpg
4,18,2,2,2,4,0,8192.22,1,unknown_female08.jpg
4,19,2,1,3,3,1,3215.67,3,unknown_female05.jpg
4,20,2,2,2,1,0,7656.33,1,unknown_female12.jpg
4,21,1,2,4,4,1,2334.52,4,famous_female07.jpg
4,22,1,1,1,3,0,6797.74,2,famous_male08.jpg
4,23,2,1,3,3,1,2973.5,4,unknown_male06.jpg
4,24,1,2,3,3,1,1928.73,4,famous_male11.jpg
4,25,2,1,1,1,1,2108.51,3,unknown_female15.jpg
4,26,1,2,4,4,1,1131.78,4,famous_female04.jpg
4,27,1,2,4,4,1,5517.21,3,famous_male04.jpg
4,28,1,2,3,3,1,948.88,4,famous_female16.jpg
4,29,2,2,3,3,1,1846.09,4,unknown_female20.jpg
4,30,1,1,1,4,0,6924.67,2,famous_male03.jpg
4,31,1,1,2,2,1,2207.36,4,famous_female05.jpg
4,32,1,1,4,4,1,1329.47,4,famous_female19.jpg
4,33,2,1,1,1,1,4159.99,2,unknown_male17.jpg
4,34,1,1,4,4,1,1748.41,4,famous_male14.jpg
4,35,2,1,2,3,0,3394.75,1,unknown_male04.jpg
4,36,2,1,3,3,1,7538.19,3,unknown_male13.jpg
4,37,2,2,4,3,0,25155.12,3,unknown_male09.jpg
4,38,1,2,3,3,1,1396.16,4,famous_male18.jpg
4,39,2,2,1,2,0,10742.72,2,unknown_female16.jpg
4,40,2,2,1,1,1,6553.12,1,unknown_male16.jpg
4,41,1,2,1,1,1,927.26,4,famous_male05.jpg
4,42,2,2,2,4,0,2559.43,4,unknown_male18.jpg
4,43,2,1,4,3,0,5731.89,1,unknown_female18.jpg
4,44,1,1,2,2,1,7208.09,3,famous_male07.jpg
4,45,1,1,2,2,1,3548.23,4,famous_female03.jpg
4,46,1,1,2,2,1,1104.08,4,famous_male09.jpg
4,47,1,2,1,1,1,1337.36,4,famous_female06.jpg
4,48,2,1,2,2,1,2455.43,4,unknown_male12.jpg
4,49,2,1,3,3,1,2590.71,4,unknown_male05.jpg
4,50,2,2,1,1,1,6767.51,2,unknown_male14.jpg
4,51,1,2,1,1,1,1428.19,4,famous_female09.jpg
4,52,1,2,2,2,1,1119.49,4,famous_female13.jpg
4,53,1,2,1,1,1,1094.66,4,famous_male19.jpg
4,54,2,2,4,3,0,19711.96,1,unknown_female04.jpg
4,55,2,2,1,2,0,9716.97,1,unknown_female17.jpg
4,56,1,1,2,4,0,3280.6,3,famous_male17.jpg
4,57,2,2,4,4,1,5465.79,2,unknown_female14.jpg
4,58,1,1,3,3,1,2226.58,3,famous_female10.jpg
4,59,1,1,4,4,1,1505.87,4,famous_female17.jpg
4,60,2,2,2,2,1,1997.44,4,unknown_male20.jpg
4,61,1,1,1,3,0,11203.67,2,famous_female18.jpg
4,62,2,1,2,2,1,1794.56,4,unknown_male10.jpg
4,63,1,1,4,4,1,1733.73,4,famous_male10.jpg
4,64,2,2,4,1,0,10187.77,1,unknown_male02.jpg
4,65,2,1,4,3,0,8800.02,1,unknown_male07.jpg
4,66,1,1,1,1,1,10281.48,2,famous_female14.jpg
4,67,2,1,2,2,1,1926,3,unknown_female19.jpg
4,68,1,1,1,1,1,6767.81,2,famous_female20.jpg
4,69,1,2,3,3,1,2830.46,4,famous_female15.jpg
4,70,2,1,1,3,0,8378.38,1,unknown_female07.jpg
4,71,2,1,4,2,0,9838.02,1,unknown_male08.jpg
4,72,2,2,4,4,1,8778.37,1,unknown_female10.jpg
4,73,1,2,2,2,1,1933.81,4,famous_male16.jpg
4,74,1,1,4,4,1,1304.24,4,famous_female01.jpg
4,75,2,1,2,2,1,1071.72,4,unknown_female11.jpg
4,76,2,1,1,3,0,4982.92,2,unknown_female06.jpg
4,77,2,2,2,3,0,12153.41,2,unknown_male11.jpg
4,78,1,1,3,3,1,1203.23,3,famous_male02.jpg
4,79,1,2,2,2,1,6593.65,3,famous_female11.jpg
4,80,2,1,1,1,1,3231.91,3,unknown_male19.jpg
5,1,2,2,1,2,0,7891.69,1,unknown_female01.jpg
5,2,1,2,2,1,0,1185.58,4,famous_male20.jpg
5,3,2,2,4,4,1,1538,4,unknown_male14.jpg
5,4,2,2,3,3,1,1360.74,4,unknown_female03.jpg
5,5,2,1,3,1,0,2324.62,3,unknown_female12.jpg
5,6,1,2,1,1,1,1311.37,4,famous_male07.jpg
5,7,1,2,1,2,0,3598.8,1,famous_female08.jpg
5,8,1,1,1,1,1,2800.89,4,famous_female09.jpg
5,9,2,2,2,4,0,4434.07,2,unknown_female14.jpg
5,10,1,1,2,3,0,1676.97,4,famous_male12.jpg
5,11,1,2,1,2,0,1417.31,1,famous_male06.jpg
5,12,1,1,3,3,1,4244.82,2,famous_male13.jpg
5,13,2,1,2,4,0,2737.16,2,unknown_male18.jpg
5,14,2,2,3,3,1,1290.04,4,unknown_male09.jpg
5,15,1,2,4,4,1,1017.62,4,famous_female13.jpg
5,16,1,2,4,2,0,2125.71,1,famous_male18.jpg
5,17,1,1,3,3,1,1402.54,1,famous_male17.jpg
5,18,2,1,4,3,0,1362.67,1,unknown_male19.jpg
5,19,1,1,3,4,0,5254.22,2,famous_female15.jpg
5,20,2,2,4,1,0,2643.52,2,unknown_female04.jpg
5,21,1,2,4,4,1,3689.3,4,famous_female18.jpg
5,22,2,2,2,2,1,4035.06,1,unknown_male10.jpg
5,23,1,2,1,1,1,930.87,4,famous_female12.jpg
5,24,1,1,4,4,1,3621.18,4,famous_female14.jpg
5,25,1,1,4,4,1,1100.19,4,famous_female05.jpg
5,26,2,2,2,2,1,1993.32,1,unknown_male06.jpg
5,27,1,1,2,2,1,5561.2,1,famous_male09.jpg
5,28,1,1,3,1,0,1201.06,2,famous_male08.jpg
5,29,2,2,1,4,0,1183.49,3,unknown_female06.jpg
5,30,1,1,1,1,1,3405.06,2,famous_female16.jpg
5,31,2,2,4,2,0,1183.43,1,unknown_male12.jpg
5,32,1,1,1,3,0,4266.41,2,famous_male05.jpg
