SID,Trial,Repetition,AscLoc,ScrResp,Corr,RT,Confident,ImgName
3,10,2,3,3,1,1179.47,4,unfammale12.jpg
3,11,2,4,4,1,1239.18,4,unfamfemale37.jpg
3,12,1,3,3,1,1360.4,4,capture001 copy.jpg
3,13,1,4,3,0,1247.25,4,unfammale39.jpg
3,14,2,3,3,1,1139.16,4,unfamfemale17.jpg
3,15,1,4,4,1,1414.85,4,unfamfemale03.jpg
3,16,2,2,2,1,1051.29,4,capture005 copy.jpg
3,17,1,4,4,1,1236.52,4,unfammale21.jpg
3,18,1,2,2,1,2101.63,3,unfammale19.jpg
3,19,2,4,4,1,3154.1,3,unfamfemale01.jpg
3,20,2,2,2,1,1212.32,4,capture003 copy.jpg
3,21,2,1,1,1,1058.75,4,capture020 copy.jpg
3,22,2,1,1,1,1302.32,4,capture012 copy.jpg
3,23,1,2,1,0,2815.98,2,unfammale18.jpg
3,24,2,1,1,1,1207.17,4,unfamfemale21.jpg
3,25,2,3,3,1,1010.87,4,capture021 copy.jpg
3,26,2,1,1,1,1273.13,4,unfammale33.jpg
3,27,2,4,3,0,3135.65,2,unfammale09.jpg
3,28,1,1,3,0,1508.17,3,unfammale25.jpg
3,29,1,3,2,0,2517.83,3,unfamfemale26.jpg
3,30,2,2,2,1,1087.51,4,capture013 copy.jpg
3,31,1,2,2,1,795.31,4,capture002 copy.jpg
3,32,1,3,3,1,1377.6,3,unfammale14.jpg
3,33,1,4,4,1,4298.81,1,unfamfemale39.jpg
3,34,2,1,1,1,1770.98,3,unfamfemale04.jpg
3,35,2,3,3,1,1188.25,4,capture016 copy.jpg
3,36,1,1,1,1,3997.41,2,unfamfemale06.jpg
3,37,1,3,1,0,1565.13,3,unfammale05.jpg
3,38,1,2,2,1,2846.2,2,unfamfemale38.jpg
3,39,1,2,2,1,1813.92,4,unfamfemale24.jpg
3,40,2,4,4,1,1039.17,4,unfamfemale08.jpg
3,41,2,2,2,1,1202.79,4,unfamfemale32.jpg
3,42,1,1,1,1,1358.54,4,unfammale38.jpg
3,43,1,1,3,0,2770.54,1,unfamfemale05.jpg
3,44,1,3,3,1,6089.65,1,unfammale23.jpg
3,45,1,2,2,1,1575.24,1,unfammale08.jpg
3,46,2,4,4,1,1387.3,2,unfammale35.jpg
3,47,1,1,3,0,15682.37,3,capture010 copy.jpg
3,48,1,4,4,1,1414.81,2,unfammale02.jpg
4,1,1,1,2,0,1549,2,unfammale33.jpg
4,2,1,4,3,0,3980.61,2,capture005 copy.jpg
4,3,2,2,1,0,2788.5,1,unfammale39.jpg
